period,race,sex,age,value
Population 2020,Asian/Pacific Islander,Female,0,2955.06
Population 2020,Asian/Pacific Islander,Female,5,2815.43
Population 2020,Asian/Pacific Islander,Female,10,2642.75
Population 2020,Asian/Pacific Islander,Female,15,3360.16
Population 2020,Asian/Pacific Islander,Female,20,3565.02
Population 2020,Asian/Pacific Islander,Female,25,5622.37
Population 2020,Asian/Pacific Islander,Female,30,5870.85
Population 2020,Asian/Pacific Islander,Female,35,4704.99
Population 2020,Asian/Pacific Islander,Female,40,4315.3
Population 2020,Asian/Pacific Islander,Female,45,3876.86
Population 2020,Asian/Pacific Islander,Female,50,2903.49
Population 2020,Asian/Pacific Islander,Female,55,2168.92
Population 2020,Asian/Pacific Islander,Female,60,1885.92
Population 2020,Asian/Pacific Islander,Female,65,1418.12
Population 2020,Asian/Pacific Islander,Female,70,1137.0
Population 2020,Asian/Pacific Islander,Female,75,618.99
Population 2020,Asian/Pacific Islander,Female,80,343.64
Population 2020,Asian/Pacific Islander,Female,85,347.63
Population 2020,Asian/Pacific Islander,Male,0,3126.21
Population 2020,Asian/Pacific Islander,Male,5,3048.37
Population 2020,Asian/Pacific Islander,Male,10,2715.59
Population 2020,Asian/Pacific Islander,Male,15,3341.25
Population 2020,Asian/Pacific Islander,Male,20,3804.48
Population 2020,Asian/Pacific Islander,Male,25,6166.68
Population 2020,Asian/Pacific Islander,Male,30,6531.81
Population 2020,Asian/Pacific Islander,Male,35,4988.91
Population 2020,Asian/Pacific Islander,Male,40,4205.01
Population 2020,Asian/Pacific Islander,Male,45,3943.63
Population 2020,Asian/Pacific Islander,Male,50,2819.96
Population 2020,Asian/Pacific Islander,Male,55,2145.65
Population 2020,Asian/Pacific Islander,Male,60,1526.42
Population 2020,Asian/Pacific Islander,Male,65,1131.01
Population 2020,Asian/Pacific Islander,Male,70,847.22
Population 2020,Asian/Pacific Islander,Male,75,522.07
Population 2020,Asian/Pacific Islander,Male,80,365.53
Population 2020,Asian/Pacific Islander,Male,85,229.38
Population 2020,Black non-Hispanic,Female,0,3349.81
Population 2020,Black non-Hispanic,Female,5,3391.69
Population 2020,Black non-Hispanic,Female,10,3426.86
